participant_id,task_type,item,case_type,attempt_number,query_mode,dtw_distance,smoothness_score,accuracy_score,direction_score,pause_count,avg_speed,speed_cv,duration_ms,stroke_count,total_distance,motor_score,score_version
RS03,letter,l,lowercase,3,attempt_3_proxy,198.4720156779023,87,,100,0,0.2706277127278896,0.7711041877370569,220,1,59.53809680013571,62,v1
RS03,letter,l,lowercase,3,attempt_3_proxy,128.07899256955582,91,,100,0,0.26694810740587765,1.4329525925310207,504,1,134.54184613256234,63,v1
RS03,letter,l,lowercase,3,attempt_3_proxy,60.906871674116935,95,,100,0,0.26134401371303845,0.6779773693800485,303,1,79.18723615505066,64,v1
RS04,letter,h,lowercase,3,attempt_3_proxy,2.6740518304772025,87,,96,0,0.5453460525394638,0.8415436819259634,846,2,461.3627604483863,93,v1
RS03,letter,o,lowercase,3,attempt_3_proxy,13.329456251247905,86,,100,0,0.5352348516075233,0.5937945356345298,621,1,332.3808428482719,85,v1
RS03,letter,O,uppercase,3,attempt_3_proxy,7.718361501459948,92,,100,0,0.46270913029567257,0.9393980401376708,1399,1,647.3300732836459,92,v1
RS04,letter,L,uppercase,3,attempt_3_proxy,2.8441779152394107,90,,97,0,0.17097274583146957,1.5471556425351172,2026,1,346.39078305455735,94,v1
RS04,letter,O,uppercase,3,attempt_3_proxy,8.070176574027954,91,,100,0,0.3410879819925082,0.7746706165552978,2389,1,814.8591889801022,91,v1
RS03,letter,O,uppercase,3,attempt_3_proxy,7.718361501459948,92,,100,0,0.46270913029567257,0.9393980401376708,1399,1,647.3300732836459,92,v1
RS03,letter,l,lowercase,3,attempt_3_proxy,,100,,,0,,,0,0,,100,v1
RS03,letter,O,uppercase,3,attempt_3_proxy,7.718361501459948,92,,100,0,0.46270913029567257,0.9393980401376708,1399,1,647.3300732836459,92,v1
RS04,letter,C,uppercase,3,attempt_3_proxy,7.695334816827068,89,,100,0,0.4254305341220752,0.4447838555278635,1571,1,668.3513691057801,90,v1
RS04,letter,S,uppercase,3,attempt_3_proxy,5.068812252605539,86,,97,0,0.3095544309976342,1.2646249490969523,1906,1,590.0107454814907,91,v1
RS03,letter,L,uppercase,3,attempt_3_proxy,12.310573954822091,91,,100,0,0.6543966453897234,1.225718902128199,462,1,302.3312501700522,85,v1
RS03,letter,O,uppercase,3,attempt_3_proxy,7.718361501459948,92,,100,0,0.46270913029567257,0.9393980401376708,1399,1,647.3300732836459,92,v1
RS06,letter,l,lowercase,3,attempt_3_proxy,17.073373101289643,94,,98,1,0.06908385396701554,0.42526086074862235,6327,1,437.0935440493073,80,v1
RS03,letter,t,lowercase,3,attempt_3_proxy,6.277337320927728,97,,100,0,0.46993114249591295,0.8301183033702377,605,2,284.3083412100273,94,v1
RS03,letter,o,lowercase,3,attempt_3_proxy,6.249400752876767,92,,100,0,0.3976380066361497,0.8960153303662525,1000,1,397.63800663614967,93,v1
RS06,letter,t,lowercase,3,attempt_3_proxy,1.8777612734023241,93,,93,0,0.4212778227440217,1.463873619179782,786,2,331.12436867680105,95,v1
RS03,letter,u,lowercase,3,attempt_3_proxy,10.04767333603401,85,,91,0,0.3092224983962041,0.5206799496099793,1116,1,345.09230821016376,87,v1
RS03,letter,i,lowercase,3,attempt_3_proxy,24.957716440821688,95,,100,0,1.3196879592726007,0.9232980391655873,78,2,102.93566082326286,70,v1
RS03,letter,k,lowercase,3,attempt_3_proxy,16.380292887186275,84,,88,0,0.8492288123517476,0.7200399378004572,439,3,372.81144862241723,75,v1
RS03,letter,m,lowercase,3,attempt_3_proxy,112.55694632795034,88,,95,0,0.31936313691423857,0.5257199489087105,1814,1,579.3247303624288,61,v1
RS03,letter,l,lowercase,3,attempt_3_proxy,110.25677245796305,88,,100,0,0.17015482568533496,1.3517392908604593,375,1,63.808059632000614,62,v1
RS06,letter,a,lowercase,3,attempt_3_proxy,5.2254291033060465,88,,98,0,0.07810709596170169,0.5738755613354521,6267,1,489.4971703919845,92,v1
RS03,letter,l,lowercase,3,attempt_3_proxy,47.33702929491795,96,,100,0,0.4040289400604784,0.7276650191207008,719,1,290.49680790348395,64,v1
RS06,letter,k,lowercase,3,attempt_3_proxy,28.04663092407884,87,,94,0,0.557753808788009,0.8548139312022652,1020,2,568.9088849637691,71,v1
RS03,letter,x,lowercase,3,attempt_3_proxy,34.945569836659814,83,,93,0,0.7914839460250356,0.7062416116592692,365,2,288.891640299138,62,v1
RS03,letter,l,lowercase,3,attempt_3_proxy,5.487265056048926,98,,100,0,0.2943136673029063,0.8258932324356908,416,1,122.43448559800903,95,v1
RS03,letter,l,lowercase,3,attempt_3_proxy,4.267610698678114,96,,100,0,0.4960659557006527,0.6351727862112566,393,1,194.95392059035652,96,v1
RS03,letter,l,lowercase,3,attempt_3_proxy,14.114917928955197,95,,100,0,0.3514548478192297,0.9999768933166681,552,1,194.0030759962148,88,v1
RS06,letter,h,lowercase,3,attempt_3_proxy,34.87963896262367,93,,98,1,0.12895555827620697,0.5723838451791536,4187,1,539.9369225024786,64,v1
RS03,letter,l,lowercase,3,attempt_3_proxy,8.935008383100511,87,,100,0,0.3493609384922403,0.7345364339129058,544,1,190.05235053977873,90,v1
RS06,letter,L,uppercase,3,attempt_3_proxy,2.12223977261271,95,,100,0,0.09527119632202918,0.5683708058014939,3701,1,352.59869758783003,97,v1
RS01,letter,l,lowercase,3,attempt_3_proxy,1.932106342544379,87,,90,0,0.09469708498780965,0.5148125680231865,2424,1,229.5457340104506,93,v1
RS01,letter,o,lowercase,3,attempt_3_proxy,3.6194145056598974,86,,100,0,0.07369389726174788,0.44800172403466604,5409,1,398.61029028879426,93,v1
RS01,letter,c,lowercase,3,attempt_3_proxy,18.690665436536502,83,,92,1,0.11511623415158007,4.7079251474763755,6014,1,692.3090321876025,74,v1
RS03,letter,l,lowercase,3,attempt_3_proxy,7.955449345369554,93,,100,0,0.2874753878178239,0.7564616414657896,578,1,166.1607741587022,92,v1
RS01,letter,b,lowercase,3,attempt_3_proxy,3.6538609467650067,86,,97,0,0.18286704540814475,0.42192099072308464,2926,2,535.0689748642316,92,v1
RS03,letter,i,lowercase,3,attempt_3_proxy,2.590371163773745,92,,100,0,0.17351903648184797,0.950319660847192,427,1,74.09262857774908,96,v1
RS01,letter,L,uppercase,3,attempt_3_proxy,2.1489071883526583,90,,98,0,0.07987223330113448,0.8001400207912923,4550,1,363.4186615201619,95,v1
RS03,letter,t,lowercase,3,attempt_3_proxy,19.563066894857837,93,,100,0,1.140846262051006,0.7965581773999216,231,2,263.5354865337824,73,v1
RS03,letter,o,lowercase,3,attempt_3_proxy,23.88700529795512,89,,100,0,0.5560935598358078,0.4608577284061641,733,1,407.61657935964706,78,v1
RS01,letter,I,uppercase,3,attempt_3_proxy,7.101778779402659,80,,90,0,0.23757163216899718,0.7485326092665973,2012,3,477.99412392402235,87,v1
